Reference;;;;annotation.audio_file;;;;;;;;;;;;;;;;;;;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;CUMULO;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Filler, riempimento dei tempi di formulazione;General extenders e marche di generalizzazione;Marcatura dell'inferenza;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;;dubbi;commenti
BOD2011;#2539792;doc#358;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=851130&end=851840;851130;851840;BO049;BOD2011;0,01587963;;https://search.corpuskiparla.it/corpus/conversations/BOD2011.html;https://search.corpuskiparla.it/corpus/conversations/BOD2011_jefferson.html;21-25;F;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;// figo sì // è una però è una cosa abbastanza comune trovare questi quartieri a londra // ehmh sì a quanto pare sì // eh;quindi;// beh ci sta // e e lì quindi vivevi con questi tuoi amici oppure // con delle altre persone // le // le prime due tre;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
BOD2011;#2540714;doc#358;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2011&begin=1108166&end=1110210;1108166;1110210;BO075;BOD2011;0,01587963;;https://search.corpuskiparla.it/corpus/conversations/BOD2011.html;https://search.corpuskiparla.it/corpus/conversations/BOD2011_jefferson.html;21-25;M;;stud;;;emilia-romagna;laurea in corso;2;intervista semistrutturata;anno inizio a fare il tatuator // e // // il tatuatore e // figo // quindi speriamo che dei soldini entrino poi c'' è la tesi //;quindi;devo cercare unamh // devo speriamo che i contatti che ho con le case editrici // sieh realizzino cioè per una;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
KPN018;#2543935;doc#359;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN018&begin=776420&end=779300;776420;779300;PKP145;KPN018;0,016261574;;https://search.corpuskiparla.it/corpus/conversations/KPN018.html;https://search.corpuskiparla.it/corpus/conversations/KPN018_jefferson.html;21-25;F;;stud;;;veneto;laurea in corso;3;pasto;poteva farlo solo orale? non si capisce // e e il fatto è che lo scritto sono solo crocette // mhmh // quindi c''è vero falso e;quindi;c''è risposta multipla // e ho tipo venti minuti e sono trenta // te l''aveva detto anche quella che fa la cosa la // // sì ho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1006;#2552611;doc#360;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1006&begin=3178145&end=3182779;3178145;3182779;BO099;BOD1006;0,063275463;;https://search.corpuskiparla.it/corpus/conversations/BOD1006.html;https://search.corpuskiparla.it/corpus/conversations/BOD1006_jefferson.html;66-70;F;;intell;;;emilia-romagna;phd;1;lezione;non far emergere perchè viviamo in una società cosiddetta civile // perchè la cultura ci dice che non dobbiamo farlo // e;quindi;è sempre tutto sotto cenere ma ogni tanto esplode // o addirittura si fa solo anche solo leggermente vedere da uno;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1004;#2558034;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=191796&end=199328;191796;199328;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;acute // e abbiamo le lesioni del midollo spinale // eh le lesioni cerebrali traumatiche l'' ictus ischemico // eh;quindi;tutta una serie di patologie di cui abbiamo parlato indirettamente perché vi ricordate quando abbiamo detto delle //;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOD1004;#2559533;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=935566&end=941610;935566;941610;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;proteine // in particolar modo c'' è un'' alterazione // in tutti i casi del pathway di degradazionedi queste proteine //;quindi;del sistema propitina proteasoma del sistema lisosomiale o di entrambi // ehper cui mh diciamo c'' è un legame molto;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOD1004;#2561093;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=1748052&end=1756095;1748052;1756095;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;fondamentale è proprio legato a questo // gli aggregati diciamo eh che // a~ includono queste proteine senza andare;quindi;a bloccare il proteasoma il trasporto assonale // eh il rilascio dei neurotrasmettitori // alla fine sono;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;0;;
BOD1004;#2563167;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=2798903&end=2804943;2798903;2804943;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;queste cellule svolgono una tutta una serie di funzioni fisiologiche // eh sia durante lo sviluppo che nell'' adulto // e;quindi;quello che si è visto e che vi ricordo in questa slide è proprio il fatto che // nelle patologie si pensa che ci sia prima di;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
BOD1004;#2564552;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=3466945&end=3472668;3466945;3472668;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;xxxxxxx // quindi vide i sintomi // nella paziente riduzione della sostanza eh grigia // ampliamento dei ventricoli;quindi;neurodegenerazione presenza di placche e di grovigli // lui presentò nel nel millevocentosette questo da~ questi;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOD1004;#2564781;doc#361;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1004&begin=3577018&end=3591216;3577018;3591216;BO093;BOD1004;0,043125;;https://search.corpuskiparla.it/corpus/conversations/BOD1004.html;https://search.corpuskiparla.it/corpus/conversations/BOD1004_jefferson.html;41-45;F;;intell;;;emilia-romagna;phd;1;lezione;più diciamo c'' è una diagnostica molto più avanzata visto al'' ultimo congresso della xxx sull'' azheimer parkinson //;quindi;c'' è una differenza fra paesi europei in in italia secondo la mia personalissima opinione questo dato è;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB013;#2565431;doc#362;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB013&begin=124480&end=125540;124480;125540;BOR005;PBB013;0,020185185;;https://search.corpuskiparla.it/corpus/conversations/PBB013.html;https://search.corpuskiparla.it/corpus/conversations/PBB013_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;intervista semistrutturata;che possono essere negozi servizi postali // no quello ci sono ci sono sì sì quello giudizio positivo sui servizi //;quindi;x x xx // però insomma preferirebbe abi~ x anzi preferiresti ce la posso fare abitare in un altro quartiere o rimarresti;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB013;#2568869;doc#362;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB013&begin=1318013&end=1320207;1318013;1320207;BOR005;PBB013;0,020185185;;https://search.corpuskiparla.it/corpus/conversations/PBB013.html;https://search.corpuskiparla.it/corpus/conversations/PBB013_jefferson.html;21-25;M;;stud;;;marche;laurea in corso;2;intervista semistrutturata;nell''altra sala // ci sono sì altre sale ci sono // le sezioni // mhmh // scacchi lo scii la la la la corsa // mh // calcio // ah;quindi;insomma siete ben // ah sì sì sì // organizzati x x non non non ci si annoia // sì // no no no questo questo no // poi insomma;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBB013;#2569803;doc#362;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB013&begin=1612123&end=1617499;1612123;1617499;BOI040;PBB013;0,020185185;;https://search.corpuskiparla.it/corpus/conversations/PBB013.html;https://search.corpuskiparla.it/corpus/conversations/PBB013_jefferson.html;46-50;F;;oper;;;emilia-romagna;dip_tec_prof;2;intervista semistrutturata;privati eh lì eh devono mettere mano in tasca i proprietari // mh // adesso vedo che si sono dei gran cantieri in giro eh;quindi;tante cose sono state fatte // mhmh // in altri sì in certi punti in zone un po'' più // così sono anche proprio degradati //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1009;#2571926;doc#363;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1009&begin=861970&end=863615;861970;863615;BO102;BOD1009;0,042372685;;https://search.corpuskiparla.it/corpus/conversations/BOD1009.html;https://search.corpuskiparla.it/corpus/conversations/BOD1009_jefferson.html;31-35;M;;intell;;;estero;phd;1;lezione;elemento politico ha un contraltare geopolitico // che a sua volta ha un fondamento essenziale nella geografia //;quindi;nel territorio // che non è quello dell'' europa // e non si capisce nella differenziazione nella riflessione fra lo;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOD1009;#2575380;doc#363;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1009&begin=2589870&end=2600700;2589870;2600700;BO102;BOD1009;0,042372685;;https://search.corpuskiparla.it/corpus/conversations/BOD1009.html;https://search.corpuskiparla.it/corpus/conversations/BOD1009_jefferson.html;31-35;M;;intell;;;estero;phd;1;lezione;dove i professori entrano gratis ai musei? no? noi non entriam gratis nei musei perchè non facciam storia dell'' arte;quindi;ci fermiamo // ci fermiamo // a una rappresentazione // tutta geografica // qui di politico c'' è il contrasto fra l'';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1011;#2578319;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=356808&end=364548;356808;364548;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;// di popolazioni colonizzate // che venivano portate in occidente // e venivano mostrate al pubblico occidentale //;quindi;ad esempio pigmei aborigeni insomma che venivano mostrati in genere in occasioni di expo fiere // come se mostrassero;;;;;1;1;;;;;;;;;;;;1;;;1;;;;;;;;;1;;
BOD1011;#2579900;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=1005228&end=1008101;1005228;1008101;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;pratiche di magia // e dice come vengono ehm sviluppate in questo contesto e come in quest'' altro? e fa dei confronti //;quindi;eh c'' è questo sapere comparativo // ovviamente che è fondato su quest'' idea centrale // cioè l'' unitpa psichica del;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;0;;
BOD1011;#2581109;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=1469078&end=1471486;1469078;1471486;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;un neonato da solo che fa? muore // tante altre specie animali invece hanno una prole che può sopravvivere // e;quindi;noi parliamo di incompletezza // nel senso che ciascun individuo quando viene al mondo // è come se fosse nudo e viene;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1011;#2581599;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=1647128&end=1650528;1647128;1650528;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;è chiaro ci sono delle determinazioni individuali // e c'' è una libertà di scelta che però è abbastanza contenuta //;quindi;questo è il concetto di cultura che propone fabietti // è più articolato ovviamente di quello tylor // però come vedete;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
BOD1011;#2584418;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=2747355&end=2750096;2747355;2750096;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;quello combinato // forzato // sì perchè c'' è l'' idea appunto che ci sia un obbligo no? che le famiglie costringano //;quindi;non è una questione del forzato in senso tecnico // xxx // se interpreto bene chi è che ha scritto forzato? // ho ragione?;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1011;#2585288;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=3086160&end=3088693;3086160;3088693;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;combinati // invece il punto di vista etico // è il punto di vista dello scienziato sociale che studia il fenomeno //;quindi;se ci fosse un antropologo delle trobriand // che viene qui e vuole are una ricerca // sui corsi di antropologia;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
BOD1011;#2585776;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=3262525&end=3262990;3262525;3262990;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;combinati ci sono tante persone che non si sposano con il matrimonio combinato però questa è la concezione xxx //;quindi;// prima di tutto punto di vista emico // secondo osservazione partecipata // terzo dimensiona comparativa //;;;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;0;;
BOD1011;#2586916;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=3697040&end=3698416;3697040;3698416;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;con l'' amore // nel medioevo come in tante culture // è un patto // tra due individui // per produrre dei figli legittimi //;quindi;un patto di alleanza // che ha a che fare con le famiglie // mh? // quindi è giusto quello che lei ha detto no? è proprio una;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
BOD1011;#2590075;doc#364;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1011&begin=4942356&end=4947156;4942356;4947156;BO112;BOD1011;0,06005787;;https://search.corpuskiparla.it/corpus/conversations/BOD1011.html;https://search.corpuskiparla.it/corpus/conversations/BOD1011_jefferson.html;51-55;F;;intell;;;emilia-romagna;phd;1;lezione;// quindi dobbiamo prendere una mediatrice culturale che è favorevole alle emme gi effe no // la cultura è composita //;quindi;dietro alla cultura ci sono tantissime persone che magari combattono contro le emme gi effe // e io sposo quella parte x;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PBA019;#2590843;doc#365;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=21260&end=23479;21260;23479;BOR022;PBA019;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;4;intervista semistrutturata;da quanto tempo è che state a bologna? // tre anni // sì due e me~ siamo saliti insieme quindi // quasi quasi tre // ah okay;quindi;è è un bel po'' // quasi tre anni due e mezzo quasi tre anni sì // okay // e vi ci trovate bene? come? // abbastanza bene // sì sì;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBA019;#2591537;doc#365;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=256397&end=260575;256397;260575;BOR022;PBA019;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;F;;stud;;;marche;laurea in corso;4;intervista semistrutturata;che poi vabbè non rispecchio io poi magari per altri so'' importanti però per me // capito // cioè c''è altro // nel senso //;quindi;nel senso senso vedete una differenza grossa fra // il posto da dove venite che non mi ricordo qual è non so // cassino;;;;;1;1;;;;;;;;;;1;;;;;;;;1;;;;;;1;;
PBA019;#2593957;doc#365;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=1070603&end=1077928;1070603;1077928;BOI084;PBA019;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;M;;uff;;;lazio;dip_tec_prof;4;intervista semistrutturata;diciamo è frequentato da persone // che l''età appunto varia che ne so dai venticinque ai trenta o di più o di meno // mh // e;quindi;questo magari pure è un po'' ecco rispetto a piazza verdi se dovessi fa'' come di'' una comparazione tra le due zone //;;;;;1;;;;;;;;;;;1;;;;;;1;;;;;;;;0;;
PBA019;#2597538;doc#365;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=2219570&end=2224070;2219570;2224070;BOI083;PBA019;0,058460648;;https://search.corpuskiparla.it/corpus/conversations/PBA019.html;https://search.corpuskiparla.it/corpus/conversations/PBA019_jefferson.html;21-25;M;;disocc;;;lazio;dip_tec_prof;4;intervista semistrutturata;cioè c''è molto classismo capito? // no so'' contro st~ st''idea // mh // secondo me // cioè molto tipo ah tu sei maschio;quindi;non puoi ah tu sei maschio quindi non capisci // okay // cioè non è così secondo me cioè anzi dovremmo unirci vabbè quelle;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2602615;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=140826&end=145526;140826;145526;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;// no e // per mh per diciamo la memoria che ho io // è stato un comune mh // è già da parecchio tempo parecchio tempo che è così;quindi;in realtà ehm // mh non è non è recente questo suo questa sua sensibilità verso verso lo sport verso i giovani // mh okay e di;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBB018;#2603616;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=504845&end=508155;504845;508155;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;distanza di quattro anni che quindi mi sono fermata ancora // ehm // dal punto di vista professionale è stato devastante;quindi;se devo dire // dal // sotto il profilo del lavoro // ho avuto due arresti // e quindi è cambiato totalmente perchè ho;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2603635;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=512580&end=516240;512580;516240;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;professionale è stato devastante quindi se devo dire // dal // sotto il profilo del lavoro // ho avuto due arresti // e;quindi;è cambiato totalmente perchè ho cambiato anche visione del lavoro // nel senso che l''ho messo l''ho messo in secon~ in;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2606291;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=1449410&end=1450192;1449410;1450192;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;a bologna in città? // no perché // // no // eh // non potrei vivere in una città ma in nessuna città non solo a bologna // mh //;quindi;è un discor~ // mh // forse a modena sì ma // // è un altr~ // // per altri motivi ecco // okay // no il il discorso eh // io ehm //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2607877;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2001140&end=2002890;2001140;2002890;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;anche a ferrara // mh // pochissimi eh pochissimi diciamo mh pochissime zone // eh // diciamo che li prediligo // ecco //;quindi;ehm // in questo senso ecco // e secondo te sono tenuti bene oggi? // allora i i portici di bologna ehm // allora io ricordo;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBB018;#2607956;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2030817&end=2032247;2030817;2032247;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;la realtà di bologna è fatta anche di questo // che ci sono eh persone che dormono // che dormono lungo i portici // e che;quindi;eh // mh // potrebbero st~ potrebbero essere tenuti meglio in certe zone // però riconosco che rispetto al passato e;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBB018;#2608226;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2126250&end=2126720;2126250;2126720;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;z~ certe zone che // hanno anche mh // le hanno un po'' ri~ mh diciamo sistemate con // ehm con delle mh // con del verde //;quindi;// vicino hanno un po'' // ehm un po'' valorizzato certe certe zone // mh // mh // e sei mai stata a san luca invece? // a san luca;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2608712;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2299000&end=2302980;2299000;2302980;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;prima scendere poi portarla // t~ eh fa // voglio dire terminare la pioggia // però nel perido in cui è giù // è nuvoloso //;quindi;vediamo un po'' nel durante il periodo mariano che è in maggio // mh // come anche il discorso di tutti gli archi che ci sono;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;0;;
PBB018;#2609112;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2454260&end=2456450;2454260;2456450;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;in a quel // quella zona e anche // ehm e che sono // e che esprimono dei concetti proprio perchè hanno quella cadenza // e;quindi;secondo me almeno conoscerlo // conoscerlo sarebbe // sarebbe diciamo mh necessario ecco // e tu come faresti a far;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBB018;#2610526;doc#366;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB018&begin=2982120&end=2987767;2982120;2987767;BOI052;PBB018;0,036793981;;https://search.corpuskiparla.it/corpus/conversations/PBB018.html;https://search.corpuskiparla.it/corpus/conversations/PBB018_jefferson.html;51-55;F;;intell;;;emilia-romagna;laurea;2;intervista semistrutturata;// in mezzo al bosco // eh concilia sia lo sia l''attività fisica come anche un a un // un ritorno alla natura // e;quindi;mh le mie vacanze le trascorro così un anno vado in montagna un anno vado al mare // mh // // se posso // // va bene // allora io;;;;;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;0;;
PBA010;#2614076;doc#367;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA010&begin=1080319&end=1080541;1080319;1080541;BOI069;PBA010;0,021724537;;https://search.corpuskiparla.it/corpus/conversations/PBA010.html;https://search.corpuskiparla.it/corpus/conversations/PBA010_jefferson.html;21-25;M;;artig;;;emilia-romagna;med;2;intervista semistrutturata;è dalle nove alle diciotto quindi mi sveglio tranquillamente alle otto per essere in ufficio alle nove // certo //;quindi;// molto tranquilla come cosa // okay quindi dipende un po'' // dipende da che cosa ti richiede magari la settimana //;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
PBA010;#2614902;doc#367;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA010&begin=1401772&end=1407343;1401772;1407343;BOI069;PBA010;0,021724537;;https://search.corpuskiparla.it/corpus/conversations/PBA010.html;https://search.corpuskiparla.it/corpus/conversations/PBA010_jefferson.html;21-25;M;;artig;;;emilia-romagna;med;2;intervista semistrutturata;lo si trasforma in tensione di diciamo diretta // okay // da quella tensione in diciamo in termini tecnici incontinua;quindi;tensione incontinua // e tramite due strisce in parallelo // e i cavi di uscita vanno poi collegati a un convertitore o un;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;0;;
TOD1005bis;#2617360;doc#368;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1005bis&begin=419494&end=425475;419494;425475;TO017;TOD1005bis;0,035231481;;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis.html;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis_jefferson.html;31-35;M;;intell;;;piemonte;phd;1;lezione;struttura morfologica di base // eh i pronomi // avete un bel po'' di variazione // e queste sono alcune solo delle forme //;quindi;rimandiamo per ora la risposta alla nostra domanda di possiamo trovare qualcosa che tutti i // i dialetti incluso l'';;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;
TOD1005bis;#2617841;doc#368;;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1005bis&begin=602104&end=602512;602104;602512;TO017;TOD1005bis;0,035231481;;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis.html;https://search.corpuskiparla.it/corpus/conversations/TOD1005bis_jefferson.html;31-35;M;;intell;;;piemonte;phd;1;lezione;dal proto arabo // okay // finito // facile // a~ al livello linguistico possiamo ritenerci soddisfatti // okay //;quindi;// la domanda è // esiste // non esiste // se trovo le altre slide // cominciamo a guardarlo // nel tempo che ci resta della;;;;;1;;;;;;;;;;;1;;;;;;1;;;;;;;;0;;
