corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOD1005	368-0	368-0|368-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1487989&end=1488396	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	per delta di bi // preso qualsiasi altro cubo che sia delta di i vi uguale a xxx // e // è grande la // ics // chiusa la quadra //	va bene?	// quindi avete un quantificatore esistenziale davanti // a tutto quest'' enunciato // ci siamo? // va bene allora a
KIP	BOD1005	394-10	394-10|394-11	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1589305&end=1593659	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	no	_	_	_	non vi serve a niente per la preparazione // allora l'' idea è la seguente // voi anzi ne potete fare uno ne potete fare due	va bene	quello che volete // d'' accordo? // eh se li fatti tutti e due noi correggiamo solo l'' ultimo quello del diciotto gennaio
KIP	BOD1005	398-10	398-10|398-11	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1606202&end=1610644	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	uno può venire qui può giudicare che non è andato bene il test // e lo rifà il diciotto gennaio e quello noi correggiamo	va bene?	// se invece uno viene qui il diciannove dicembre // si autovaluta e dice no io il test l'' ho fatto bene // eh non ne voglio
KIP	BOD1005	406-0	406-0|406-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1636114&end=1639491	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di attenzione	_	_	correggiamo un solo test per ognuno di voi // quindi se uno ne fa due automaticamente // correggiamo solo il secondo //	va bene	il primo lo buttiamo via cioè non lo guardiamo nemmeno // d'' accordo? // benissimo questo almeno così dà a voi la
KIP	BOD1005	434-0	434-0|434-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=1790653&end=1792238	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di attenzione	_	_	// bene // allora eh diciamo // eh ieri mi è anche stato chiesto ma che tipo di che tipo di domande possono venir fuori //	va bene	di fronte // a questo a xx come dire // questo contenuto logico no questo teorema // eh vabbè una domanda per esempio
KIP	BOD1005	525-0	525-0|525-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2137216&end=2140560	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	del secolo scorso // qui il grande il grande eroe è david xx // con la sua scuola fra cui il nostro amico gerard gentzen //	va bene?	si pone il problema della consistenza dell'' aritmetica // e se lo pone in un modo molto molto concreto // dice bene diamo
KIP	BOD1005	537-0	537-0|537-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2204823&end=2205402	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	// va bene? quindi da zero uguale a uno qualsiasi cosa cinque uguale a quattro xx tutto teoremi veri falsi tutti xx //	va bene?	// oh allora questo lavoro della proof theory che è stato portato avanti inizialmente da xx e dalla sua scuola tra cui
KIP	BOD1005	544-0	544-0|544-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2235191&end=2235656	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	importanza // e quindi quando si parla di fondamenti della matematica // questo è il primo problema da risolvere //	va bene?	// poi vi dirò che non è possibile risolverlo // poi questo spesso xx però per dirvi che quel pochino che noi stiamo
KIP	BOD1005	567-0	567-0|567-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2316152&end=2316628	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di accordo/conferma	_	_	mesi di seguito // dal basso verso l'' alto con lettura semantica // gentzen l'' aveva pensato come calcolo deduttivo //	va bene?	// quindi in cui le regole si leggono dall'' alto verso il basso quindi se voi vi ricordate per esempio // eh vediamo una
KIP	BOD1005	633-0	633-0|633-1	BO094	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1005&begin=2566939&end=2567617	lecture	01:24:55	1	asymmetric	no	fixed	2018	BO	2-Professionals	F	toscana	66-70	yes	Richiesta di attenzione	_	_	// ma utilizzando dei concetti insiemistici // in un certo senso più insicuri dell'' aritmetica stessa // e quindi //	va bene?	// gelder dimostra che // con strumenti tanto potenti tanti quelli dell'' aritmetica // non è possibile dimostrare la
