corpus	conv_id	token_id	token_span	audio	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIPasti	KPN013	572-2	572-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN013&begin=1023773&end=1031020	yes	_	Introduzione o ripresa del topic	_	capito io // xxx // era così brutta che nessuno ci poteva pensare // sto male // e // è buono? // è buonissimo raga // e niente	praticamente	lei ha pubblicato nel novantotto una serie di racconti che però non sono mai stati trovati in altre lingue no? //
KIPasti	KPN013	574-2	574-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN013&begin=1034940&end=1038090	yes	_	Introduzione o ripresa del topic	_	di racconti che però non sono mai stati trovati in altre lingue no? // racconti brevi allora hanno scelto uno // che io	praticamente	devo tradurre in italiano // e poi commentare la mia traduzione // bello // faccio la tesi su x cioè è un racconto di da
ParlaTO	PTB008	89-4	89-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB008&begin=123278&end=129830	yes	_	Introduzione o ripresa del topic	_	i dialetti // come mh con i suoi genitori quando era piccola fratelli // eh // ma eh diciamo mh // in famiglia eh piemontese	praticamente	solo che c''era mio nonno che abitavamo insieme // che era calabrese // ah // papà di mia mamma // e quindi lui parlava
ParlaBO	PBA026	16-2	16-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=29530&end=31758	yes	_	_	Approssimazione	che abito a bologna // perché prima ho vissuto a san lazzaro // cioè prima alla ponticella poi a san lazzaro // mhmh // per	praticamente	tutta la mia vita // e a settembre duemilaventitré mi son trasferito qui // quindi bologna bologna // ci sono nato e ci sto
ParlaBO	PBA026	168-2	168-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=399984&end=403100	yes	_	Prolettico	_	ha mh la sede a modena quindi dove lavora // eh e quindi dovendo uscire // praticament~ prima del covid // dovendo uscire	praticamente	ogni giorno per andare a modena // ci portava alla fermata del bus già diciamo in in città // in città // sì sì certo ha senso
ParlaBO	PBA026	391-0	391-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=988391&end=991100	yes	_	Introduzione o ripresa del topic	_	che prendon sempre voti alti // tutta la classe con lei in matematica e in elettrotecnica aveva sempre sei // o meno //	praticamente	nessuno riusciva a prender più di sei // e lei si lamentava con noi diceva eh non studiate non studiate // ma dopo tre anni
ParlaBO	PBA026	428-0	428-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=1089462&end=1090621	yes	_	Chiusura del topic	_	niente // mhmh // e questo atteggiamento poi // allora non ce l''aveva mica solo lui ce l''avevano tutti i professori //	praticamente	quindi // anche lì è stato è stato molto difficile // ehm se c''eran dei problemi metterli a posto // perché // eh
ParlaBO	PBA026	755-1	755-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=1880887&end=1882480	yes	_	Filler	_	quattro metri e cinquanta // quindi fatta per saltare oltre i cinque metri // stavo stavo provando quest''asta qui // e	praticamente	// più l''asta è lunga // più // tu ci devi mettere forza e più devi correre veloce // per riuscire a piegare quest''asta // io
ParlaBO	PBA026	866-1	866-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=2196317&end=2199391	yes	_	Prolettico	_	non seppe darmi una risposta // ehm // due settimane dopo i campionati italiani di squadra // il il mio allenatore // eh	praticamente	non riuscì più a seguirmi // perché e il presidente // gli aveva mandato un sacco di ragazzi aveva formato un gruppo
ParlaBO	PBA026	917-1	917-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=2343787&end=2348259	yes	_	_	Intensificazione	cavallo // ehm sbarra e parallele // io faccio sbarra e parallele // c''ho le mani aperte // aperte // sì // e quindi // sono	praticamente	fermo adesso perché no~ posso fare solo potenziamento // mhmh // ah beh dai ma t~ guarirai subito // penso // mah eh // cioè
ParlaBO	PBA026	991-6	991-6	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA026&begin=2515234&end=2520840	yes	_	Prolettico	_	però i~ natale lo passi in famiglia comunque? // x xx // natale in famiglia sempre passato in famiglia // e la sera mi sono	praticamente	sempre visto con con i miei amici quindi // la la mia tradizione a natale è il pranzo // alla mattina e pranzo con la
KIPasti	KPC003	127-0	127-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC003&begin=385026&end=391752	yes	_	Riformulazione	_	// ma te io vedo un cerchio // no ma ve~ le luci che fanno tipo a~ e h asterisco // no io vedo un cerchio // no il cerc~ cioè //	praticamente	il cerchio è diciamo tipo il il il faro da cui parte la luce ma poi dopo c''è una specie di asterisco // forse sei astigmatico
KIPasti	KPC003	261-2	261-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC003&begin=854484&end=858050	yes	_	_	Approssimazione	è il mio nonno paterno e mh // mh mh // e poi n''ha avuto un altro di questi macchinari non so se era per la pressione // però era	praticamente	per il coso che che ti buchi un dito // quello è per mh la glicemia il diabete // eh sì per la glicemia sì perchè div~ mh mh ci ha
ParlaBO	PBB011	422-1	422-1	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB011&begin=868038&end=869807	yes	_	Prolettico	_	sotto questo aspetto // non riescono più ad avere // senso civico ecco // mhmh // sì // sì // ehm // essendo // i portici // mh	praticamente	ovunque a bologna no? // cioè magari quando vai ne~ in un''altra città oppure nella tua città natale // cioè che effetto f~
ParlaBO	PBA018	244-4	244-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA018&begin=629281&end=632883	yes	_	Riformulazione	_	// sì no dicevo che i lati positivi di sto lavoro // che mh // cioè non è un lavoro fisso // mh // quindi ti permette cioè	praticamente	da contratto sarebbe che // okay // tu devi farti minimo ottanta giornate // massimo centottanta // mh nell''arco di // di
ParlaBO	PBA018	324-2	324-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA018&begin=799158&end=801874	yes	_	Prolettico	_	in eh // quaranta persone più o meno // okay // quindi sia~ siamo in un po'' // e ogni giorno sei con gente diversa // cioè te	praticamente	arrivi in magazzino c''hai un foglio // in cui stanno scritte tutte le squadre // okay // con i mezzi che devi portarti i
ParlaBO	PBC013	202-10	202-10	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=955490&end=961160	yes	_	Filler	_	preso un camioncino e ha cominciato a fare l''autotrasportatore // e abbiamo anche cambiato casa ma passando di fronte	praticamente	mh // e dopo qualche anno ancora di nuovo andando un pochino più avanti la bolognina è sempre stata il luogo dove han
ParlaBO	PBC013	933-0	933-0	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=3985307&end=3986352	yes	_	Introduzione o ripresa del topic	_	// qui facciamo una mangiata di pizza che ci facciamo portare da quella pizzeria // in modo tale da dargli del lavoro //	praticamente	// sì sì sì // e e da lasciargli anche un margine nel senso quel compagno ha novantadue anni sai? // però // io gli voglio un
ParlaBO	PBB015	259-9	259-9	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB015&begin=620283&end=625751	yes	_	_	Intensificazione	// mamma mia // è vero ormai sono ovunque // sì sì // quindi // ma e rispetto alle biciclette come com~ cioè bologna	praticamente	è popolata da biciclette // n~ io quando sono a piedi mi disturbano le biciclette // okay // dovessi guidare un autobus
KIP	BOD1006	516-2	516-2	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1006&begin=2068128&end=2069723	yes	_	_	Approssimazione	o anche con l'' atto unico insomma // i futuristi sostenevano la necessità di un'' estrema sintesi // quindi erano	praticamente	// come dei canovacci della commedia dell'' arte i loro testi erano appunto si chiamano sintesi di una paginetta
ParlaTO	PTB004	115-11	115-11	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB004&begin=266831&end=270759	yes	_	Introduzione o ripresa del topic	_	a imparare il mestiere avevano messo la bottega insieme // e sono andati avanti sempre insieme li ha divisi la morte	praticamente	// cioè erano come fratelli in pratica // come fratelli sì // e tu lavoravi ad avigliano avevi un lavoro? // io // allora //
ParlaTO	PTB004	139-4	139-4	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB004&begin=328239&end=329759	yes	_	Riformulazione	_	il filo // e si faceva tessere si portava così mia mamma tesseva per gli altri così // certo // ecco // e // quindi tu l~	praticamente	// e io praticamente eh // non è che una giù impara solo quella cosa lì // c''è il telaio in casa allora // ero anche ero anche
ParlaTO	PTB004	196-7	196-7	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB004&begin=450869&end=452904	yes	_	_	Approssimazione	mh sì // o si andava alla fiume no il fiume non c''è a avigliano cioè mh // ci son le fiumare // mh // ah che è un come un torrente	praticamente	// sì // e quindi poi ci sono i lavatoi // pubblici così e insomma // si cercava di andare a quello perchè a quello c''era
ParlaTO	PTB004	761-8	761-8	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB004&begin=1774363&end=1777985	yes	_	_	Specificazione	poi non v~ xx nella scuola in tutto s~ da g~ siamo cresciuti con quello // certo // fino a quindi~ mh fino al quarantacinque	praticamente	// eh già perchè tu hai fatto scuola in quel periodo // io ho fatto scuola dal trentasette al quarantatrè // com''era
