corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaBO	PBC023	130-1	130-1	BOI058	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC023&begin=430163&end=431471	semistructured-interview	00:51:25	2	asymmetric	yes	fixed	2022	BO	0-Retired	F	_	66-70	no	_	_	_	// c''è comunque del lavoro // ci sono appunto // le uners~ università per i giovani che vogliono studiare // perciò	direi	che // una buona città insomma // eh quindi comunque non hai sempre vissuto nello stesso luogo // no assolutamente io non
ParlaBO	PBC004	518-5	518-5	BOI011	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=1332900&end=1338494	semistructured-interview	00:58:50	2	asymmetric	yes	fixed	2021	BO	0-Retired	F	_	66-70	yes	_	Filler	_	// // storie particolari sui portici oltre al fatto della conservazione dei portici di legno // cosa mi viene in mente	direi	niente direi che la cosa più mh come dire // la cosa più mh // mh par~ eh originale e eh particolare che tu possa fare andando
ParlaBO	PBC004	518-7	518-7	BOI011	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=1332900&end=1338494	semistructured-interview	00:58:50	2	asymmetric	yes	fixed	2021	BO	0-Retired	F	_	66-70	no	_	_	_	particolari sui portici oltre al fatto della conservazione dei portici di legno // cosa mi viene in mente direi niente	direi	che la cosa più mh come dire // la cosa più mh // mh par~ eh originale e eh particolare che tu possa fare andando sotto i
ParlaBO	PBC004	1364-4	1364-4	BOR004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=3519699&end=3524147	semistructured-interview	00:58:50	2	asymmetric	yes	fixed	2021	BO	0-Students	F	_	21-25	no	_	_	_	immagine di quello che ti ho fatto // va bene ma tanto sì // oppure // per // devo parlare ancora? // no per l''intervista	direi	che va bene così eh son cinquantotto minuti // va bene // cacchio // quindi // eh ma ragazzi mi dovevate fermare su dai // no
KIP	BOA1010	117-2	117-2	BO026	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA1010&begin=222585&end=224433	office-hours	00:21:26	3	asymmetric	no	free	2018	BO	2-Professionals	F	basilicata	56-60	no	_	_	_	qui sarebbe american literature mh // che questo è sì // afroamericana e però comunque è un è angloamericana // sì // sì sì	direi	di sì // sono queste tre? // eh no in realtà sì l'' ul~ l'' unica cosa è che io al secondo anno // ho il blocco quello degli esami
ParlaBO	PBA020	383-7	383-7	BOI089	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=713549&end=716475	semistructured-interview	00:25:53	3	asymmetric	yes	fixed	2023	BO	5-Service-Workers	M	_	21-25	no	_	_	_	finisce // mh fine gennaio // che poi ogni anno cambia // la data precisa // ehm // è più una tradizione quella invece d~	direi	che // quella del trentun dicembre è più // com''è che si può dire // lo vivi ogni giorno // abitudine // un'' abitudine //
KIP	BOC1002	49-9	49-9	BO087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1002&begin=150393&end=153532	exam	00:28:44	2	asymmetric	yes	fixed	2018	BO	2-Professionals	M	emilia-romagna	41-45	no	_	_	_	// un conto è dire fonte delle notizie bibliografiche sono i seguenti repertori // se non dice altro e dice solo questo io	direi	// che // se vuol dire che è secondaria è detto proprio male // mh // mh // però // anzitutto nasce come complemento di un''
KIP	BOC1002	80-4	80-4	BO087	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1002&begin=245138&end=248777	exam	00:28:44	2	asymmetric	yes	fixed	2018	BO	2-Professionals	M	emilia-romagna	41-45	no	_	_	_	diversa perché è una uno stato diverso non lo so insomma // okay // però ecco // se solo qui il punto in cui // ne parlamh io	direi	che la cosa rimane // no dice poi chemh è stato difficile per alcuni eh andare a ritrovare insomma le informazioni
KIP	TOD1014	568-2	568-2	TO068	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=1259055&end=1260779	lecture	02:53:11	1	asymmetric	no	fixed	2019	TO	2-Professionals	F	sicilia	36-40	no	_	_	_	sono al secondo anno del dams // non ho nessuna conoscenza particolare però // mi interessava questo corso // va bene	direi	che siamo xxx // l'' aula // il livello xxx omogeno per fortuna // sì // io sono arianna sono anch'' io del terzo anno del dams
KIP	TOD1014	2072-5	2072-5	TO068	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=5296614&end=5299682	lecture	02:53:11	1	asymmetric	no	fixed	2019	TO	2-Professionals	F	sicilia	36-40	yes	_	_	Modulazione del grado di confidenza	quindi da necessità di vestirsi // ma anche // la dimensione di // decoro // cioè la moda // è legata anche e soprattutto	direi	// i vestiti e poi anche la moda // alla tenuta della società // cioè è le~ se c'' è una società // moderna // c'' è la moda //
KIP	TOD1014	2456-1	2456-1	TO068	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1014&begin=6225797&end=6229329	lecture	02:53:11	1	asymmetric	no	fixed	2019	TO	2-Professionals	F	sicilia	36-40	yes	_	Riformulazione	Intensificazione	// la novità // dov'' è la moda? la moda chiaramente ha anche un aspetto distributivo // molto importante // fondamentale	direi	l'' accessibilità alla moda // dov'' è? // innanzitto dov'' è dove la possiamo guardare // sempre più sugli schermi //
