corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
KIP	BOD2014	207-3	207-3|207-4	BO113	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2014&begin=632803&end=635003	semistructured-interview	00:25:01	2	symmetric	yes	fixed	2018	BO	0-Students	M	emilia-romagna	21-25	no	_	_	_	e lui è arrivato tutto a posto mentre noi cucinavamo ha iniziato a bere ma ha bevuto neanche tanto // una birra però	mi sa	che aveva già bevuto a casa // e poi è crollato // ad addormentare non ha mangiato un cazzo // si è risvegliato alle due di
KIP	BOD2014	327-2	327-2|327-3	BO113	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2014&begin=920385&end=921881	semistructured-interview	00:25:01	2	symmetric	yes	fixed	2018	BO	0-Students	M	emilia-romagna	21-25	no	_	_	_	lui è pieno // c'' ha // lucio e sandro c'' è // le acide radici ci sono a pesaro ne ha altri due eh se a pesaro a rimini // anche se	mi sa	che quelli li lascia // oh ma sai che poi // lodo ha trovato una mezza tipa? // mh? // ma quella del le giocatrici di
KIP	BOD2018	58-2	58-2|58-3	BO118	https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD2018&begin=232200&end=233660	semistructured-interview	00:28:08	2	symmetric	yes	fixed	2018	BO	0-Students	F	marche	21-25	no	_	_	_	in realtà non ci sto quasi mai perché son sempre qua a bologna e // non ho in realtà un~ una stanza preferita // nemmeno io	mi sa	che ce l'' ho // anche perché casa mia tipo è molto cioè dà molto un senso di freddo // perché l'' hanno rifatta da poco quindi è
ParlaTO	PTD006	379-5	379-5|379-6	TOR004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD006&begin=1046856&end=1048481	semistructured-interview	01:06:38	2	asymmetric	yes	fixed	2019	TO	0-Students	F	piemonte	21-25	no	_	_	_	in un call center per torino alla // posso dire l''a~ l''azienda? // sì sì // si chiama @nomeazienda // ah ma è famoso	mi sa	// che è in vi~ in vi via #nomeluogo sì ehm // iomh non homh non ho avuto una bellissima esperienza in questo // ma secondo te
ParlaBO	PBA019	689-1	689-1|689-2	BOI084	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA019&begin=1640790&end=1642599	semistructured-interview	01:24:11	4	asymmetric	yes	fixed	2023	BO	4-Clerical-Workers	M	lazio	21-25	no	_	_	_	a sei // forse è quello il sei // è quello quello // allora devo anda'' a vede'' allora // quindi li sai tutti adesso? // io	mi sa	di sì eh io li so tutti // ma allora le freccie // sì // il telefono senza fili in piazza maggiore // il telefono senza fili //
KIP	TOC1003	9-0	9-0|9-1	TO006	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1003&begin=21036&end=22791	exam	00:17:47	2	asymmetric	yes	fixed	2018	TO	2-Professionals	M	piemonte	56-60	no	_	_	_	// eh ha le dispense? // sì // giusto pereh // benissimo quindi di quest'' anno // sì // ehm // iniziamo dall'' impresa //	mi sa	dire qualcosa sull'' institore // sì // allora l'' insti~ l'' instintore è colui cheè preposto dalehmh dall'' imprenditore
KIPasti	KPN024	1035-1	1035-1|1035-2	PKP080	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPN024&begin=2801486&end=2803870	free-conversation	00:47:24	2	symmetric	no	free	2020	TV	0-Students	F	veneto	21-25	no	_	_	_	figli a casa ma cioè // ah // che nel male almeno sei controllato // s~ sì infatti // cioè // devi esserne grata e basta // io	mi sa	che vado dentro a pagare // mhmh // aspe'' // che perchè cioè tra un po'' son le sei // sì // così almeno noi abbiamo già // sì
KIP	TOA3012	655-2	655-2|655-3	TO091	https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOA3012&begin=1039473&end=1041773	free-conversation	00:18:02	4	symmetric	no	free	2019	TO	0-Students	F	umbria	21-25	no	_	_	_	sono tipo quelli però diversi // cioè con una roba davanti e le fibbie // sei sicura? // no // quelli da scout? // ma questi	me sa	che li fanno solo xxx così // a me non me fanno impazzi'' // non mi importa // ma manco a me te la devi porta'' tu // // ma poi cosa
KIPasti	KPC005	619-12	619-12|619-13	PKP065	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC005&begin=1491717&end=1496895	free-conversation	00:32:16	3	symmetric	no	free	2021	AN	4-Clerical-Workers	F	calabria	56-60	no	_	_	_	c''è l''ospedale a rosora? // eh un focolaio alla casa di riposo // ah // eh lì hanno fatto qualche loro dice de no ma invece mh	me sa	ch~ hanno fatto una cavolata loro // che è entrata sta persona da fuori // e non gli hanno fatto fare la mh quarantena come
KIPasti	KPC009	87-6	87-6|87-7	PKP089	https://search.corpuskiparla.it/corpus/player/player.cgi?code=KPC009&begin=259664&end=262860	free-conversation	01:04:17	3	symmetric	no	free	2022	PG	6-Craft-Workers	F	umbria	21-25	no	_	_	_	// o comunque vabbè su un piatto che poi dopo ci metti il sugo o quel che te pare el pesto no ? // se // eh invece lei mh tipo	me sa	che scola la pasta // #ar~ l''ar~ l''armette sulla marmitta e ci butta tutto me dè // // non so el condimento la pancetta
