corpus	conv_id	token_id	token_span	speaker_id	audio	type	duration	participants-number	participants-relationship	moderator	topic	year	collection-point	occupation	gender	school-region	age-range	SegnDisc	Func:Interazionale	Func:Metatestuale	Func:Cognitiva	left	form	right
ParlaTO	PTD001	741-0	741-0	TOR004	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD001&begin=2159884&end=2163797	semistructured-interview	00:51:20	2	asymmetric	yes	fixed	2019	TO	0-Students	F	_	21-25	yes	Marcatura della conoscenza condivisa	Marca di generalizzazione	_	al tuo paese una storia che potresti raccontarmi // meh // in che senso? // non so una storiella o uneh proverbio //	sai	no? ci sono magari delle ninna nanne che si cantano delle cose // sì // eh così adesso non mi // o magari una cosa che ti
ParlaBO	PBB022	335-5	335-5	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=927530&end=933320	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	no	_	_	_	pasta sfoglia ma fatta con la farina di riso? cioè proprio col riso? ah // no no no no no eh col riso sìsì // eh cotto con mh	sai	che non non ho neanche x // // ci piace così tanto che non sappiamo nemmeno come si fa // esatto credo credo sia una delle
ParlaBO	PBB022	385-16	385-16	BOR024	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=1037400&end=1041800	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	0-Students	F	_	21-25	yes	Marcatura della conoscenza condivisa	_	_	quella dei tortellini insomma // ah ah // mhmh eh anch''io sì anch''io preferisco cioè da piccola poi magari avevo la cosa	sai	verde mhmh // quindi quindi sono sempre stata anch'' io pasta bianca però vabbè buona anche in pasta verde in realtà // //
ParlaBO	PBB022	692-4	692-4	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=1975790&end=1980480	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	yes	_	Filler	_	si sono // o per quella che è la mia vita insomma si è perduto insomma // si sono perse // mh // perchè lo facevo soprattutto	sai	sempre lì quando quando ero piccola e mia madre che era che era // contadina e quindi che avevano possibilità di tutto il
ParlaBO	PBB022	744-11	744-11	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=2116890&end=2123759	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	yes	_	Marca di generalizzazione	_	noi eravamo venivamo dalla campagna un po'' per cui lei mia ha eh // nei giorni prima avevamo fatto il giro un po'' per vedere	sai	gli autobus la la corriera io poi prendevo la corriera no il giro che dovevo fare // mhmh // eh mh e quindi mi a~ mi
ParlaBO	PBB022	765-12	765-12	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=2203730&end=2212840	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	no	_	_	_	proiettato un un film porno no // oddio che ridere è vero è vero // e io l''ho trovata una cosa ma spiritosissima nel senso eh	sai	proprio la la voglia ancora di fare una goliardata una cretinata hai capito una // sì // l''ho trovata una cosa veramente
ParlaBO	PBB022	787-9	787-9	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=2263560&end=2269590	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	yes	Marcatura della conoscenza condivisa	Esemplificazione	_	in cortili di palazzi // che normalmente sono chiusi // che normalmente sono chiusi che tu magari puoi sbirciare	sai	quando si apre un cancello esce una macchina così vuoi un po'' sbirciare però // mh // bello // la possibilità di entrare di
ParlaBO	PBB022	997-0	997-0	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=2833240&end=2839400	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	no	_	_	_	sono gli alberi ovviamente quindi è molto ombreggiato // mh // eh dove fanno la la festa dell''unità dove fanno eh mh eh //	sai	che fanno anche un''altra eh un''altra manifestazione ti ricordi che ci siamo andati anche che mh avete scalato l''albero
ParlaBO	PBB022	1066-15	1066-15	BOI086	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=2983810&end=2991190	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	6-Craft-Workers	F	_	56-60	no	_	_	_	di aratura? // sì sì sì sì // sì // morta // oppure per dire i magi fanno per la befana bruciano il vecchione hai presente? x	sai	che non mi ricordo se // bruciano la befana ah ecco anche la cosa del del fatto che bruciano il vecchione // eh // ne avevamo
ParlaBO	PBB022	1164-3	1164-3	BOR025	https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB022&begin=3274150&end=3275430	semistructured-interview	00:58:37	3	asymmetric	yes	fixed	2023	BO	0-Students	F	_	21-25	no	_	_	_	con lo spillo vuol dire molto eh // eh no quello sì eh // è una forza nel senso che eh ci sono delle eh mh // forse non sa	sai	cos''è lo spillo? // no // è // bisogna insegnargli tutto a questa gente io non lo so // ma no ma da noi carnevale // non esiste
